name,n,base_mean,base_std,base_ci_lower,base_ci_upper,pruned_mean,pruned_std,pruned_ci_lower,pruned_ci_upper,degradation,effect_size_cohens_d,p_value_ttest,significant_ttest,p_value_wilcoxon,significant_wilcoxon,model
CMP→OUT_paths,2000,-1.250503420829773,0.9683805108070374,-1.2908320754766465,-1.2067246377468108,-1.7069225311279297,1.0014808177947998,-1.7513423174619676,-1.6639099568128586,-0.3649882972240448,0.441558837890625,2.1096379430536656e-79,True,3.624963085210017e-71,True,random_neurons_sparsity30
YD→CMP_paths,1000,-0.5227404832839966,0.8533341884613037,-0.5766669332981109,-0.46907339841127393,-1.5632191896438599,1.027114748954773,-1.6257678806781768,-1.5035235852003097,-1.9904307126998901,1.1322323083877563,3.572809703652834e-181,True,4.399326720839057e-139,True,random_neurons_sparsity30
YD→OUT_paths,2000,-0.7509259581565857,0.9220171570777893,-0.7916204124689102,-0.7122924268245697,-1.5855973958969116,1.0298702716827393,-1.629133901000023,-1.5407090187072754,-1.111522912979126,0.8356198072433472,3.5882065479347605e-232,True,5.0453972613646114e-203,True,random_neurons_sparsity30
YE→YD_paths,2000,-1.1377081871032715,0.9683122634887695,-1.1808416813611984,-1.0941275984048844,-1.6432760953903198,1.033555507659912,-1.6878754317760467,-1.597409451007843,-0.4443739652633667,0.4756467044353485,1.220152951284965e-90,True,8.50275627413324e-82,True,random_neurons_sparsity30
year_encoding_heads,2000,-1.0997751951217651,0.9726033806800842,-1.142197385430336,-1.0582766830921173,-0.6737630367279053,0.6925809979438782,-0.7030165001749993,-0.6438408643007278,0.3873629570007324,-1.098535418510437,0.0,True,1.7847915038291768e-239,True,magnitude_attention_heads_sparsity30
year_difference_heads,1000,-0.009196929633617401,0.8168637752532959,-0.06026029866188763,0.04206077568233011,-0.40995317697525024,0.6370370388031006,-0.44748324900865555,-0.3686027966439724,-43.57500457763672,0.9189727306365967,5.800883768684688e-135,True,1.669255115592039e-117,True,magnitude_attention_heads_sparsity30
comparison_heads,1000,-1.3246396780014038,0.9774264693260193,-1.3864083111286163,-1.2655990928411485,-0.7145505547523499,0.7042166590690613,-0.7540799722075462,-0.6704246073961259,0.4605698585510254,-1.6961040496826172,3.3571194971701464e-296,True,3.553608954568441e-148,True,magnitude_attention_heads_sparsity30
output_computation_heads,2000,-1.165978193283081,0.9802270531654358,-1.2097891330718995,-1.119015634059906,-0.7145505547523499,0.7042166590690613,-0.7433460533618927,-0.6854609444737434,0.38716644048690796,-1.172940969467163,0.0,True,4.914434649421348e-252,True,magnitude_attention_heads_sparsity30
all_heads,6000,-0.9775571823120117,1.0484354496002197,-1.006123822927475,-0.9524383053183556,-0.6501885056495667,0.6981127262115479,-0.6678231805562973,-0.632790569961071,0.3348844349384308,-0.6385683417320251,0.0,True,0.0,True,magnitude_attention_heads_sparsity30
all_paths,7000,-0.9715736508369446,0.9775199294090271,-0.9927581906318664,-0.9490064039826394,-0.6346678137779236,0.6951786279678345,-0.6502728283405304,-0.6177745446562767,0.3467630445957184,-0.8302966952323914,0.0,True,0.0,True,magnitude_attention_heads_sparsity30
CMP→OUT_paths,2000,-1.250503420829773,0.9683805108070374,-1.2919163316488267,-1.2106452643871308,-0.7145505547523499,0.7042166590690613,-0.7456724509596825,-0.6833793938159943,0.42858967185020447,-1.4871931076049805,0.0,True,1.1933382543846339e-282,True,magnitude_attention_heads_sparsity30
YD→CMP_paths,1000,-0.5227404832839966,0.8533341884613037,-0.5777728304266929,-0.46680386662483214,-0.5170496702194214,0.6667098999023438,-0.5596900105476379,-0.4751716494560242,0.010886497795581818,-0.01704472303390503,0.5901918837504674,False,0.11555994631695365,False,magnitude_attention_heads_sparsity30
YD→OUT_paths,2000,-0.7509259581565857,0.9220171570777893,-0.7923716723918914,-0.7098156660795212,-0.5480011105537415,0.67647784948349,-0.5776080623269081,-0.5179485931992531,0.27023282647132874,-0.5713014006614685,8.849533545705948e-125,True,3.424031557945391e-124,True,magnitude_attention_heads_sparsity30
YE→YD_paths,2000,-1.1377081871032715,0.9683122634887695,-1.1813970535993576,-1.095437815785408,-0.7002607583999634,0.7003928422927856,-0.7298862352967262,-0.668054012954235,0.38449880480766296,-1.1610479354858398,0.0,True,1.120601219435147e-250,True,magnitude_attention_heads_sparsity30
